     0	    6006.98	        2010	 7	 16	 12	 26	  23	 
     30	    5852.20	        2010	 7	 16	 12	 26	  53	 
     60	    6484.78	        2010	 7	 16	 12	 27	  23	 
     90	    5197.97	        2010	 7	 16	 12	 27	  53	 
    120	    8573.07	        2010	 7	 16	 12	 28	  23	 
    150	    14479.29	        2010	 7	 16	 12	 28	  53	 
    180	    12830.77	        2010	 7	 16	 12	 29	  23	 
    210	    11176.97	        2010	 7	 16	 12	 29	  53	 
    240	    12212.25	        2010	 7	 16	 12	 30	  23	 
    270	    12357.12	        2010	 7	 16	 12	 30	  53	 
    300	    13120.36	        2010	 7	 16	 12	 31	  23	 
    330	    13334.89	        2010	 7	 16	 12	 31	  53	 
    360	    13536.20	        2010	 7	 16	 12	 32	  23	 
    390	    12982.91	        2010	 7	 16	 12	 32	  53	 
    420	    11563.75	        2010	 7	 16	 12	 33	  23	 
    450	    13194.61	        2010	 7	 16	 12	 33	  53	 
    480	    13871.67	        2010	 7	 16	 12	 34	  23	 
    510	    13739.15	        2010	 7	 16	 12	 34	  53	 
    540	    13749.42	        2010	 7	 16	 12	 35	  23	 
    570	    13133.61	        2010	 7	 16	 12	 35	  53	 
    600	    12783.13	        2010	 7	 16	 12	 36	  23	 
    630	    13070.16	        2010	 7	 16	 12	 36	  53	 
    660	    13677.16	        2010	 7	 16	 12	 37	  23	 
    690	    13887.23	        2010	 7	 16	 12	 37	  53	 
    720	    13677.33	        2010	 7	 16	 12	 38	  23	 
    750	    13370.89	        2010	 7	 16	 12	 38	  53	 
    780	    13410.19	        2010	 7	 16	 12	 39	  23	 
    810	    13401.75	        2010	 7	 16	 12	 39	  53	 
    840	    13780.90	        2010	 7	 16	 12	 40	  23	 
    870	    14724.93	        2010	 7	 16	 12	 40	  53	 
    900	    15868.65	        2010	 7	 16	 12	 41	  23	 
    930	    16738.18	        2010	 7	 16	 12	 41	  53	 
    960	    13884.12	        2010	 7	 16	 12	 42	  23	 
    990	    14660.40	        2010	 7	 16	 12	 42	  53	 
   1020	    14340.06	        2010	 7	 16	 12	 43	  23	 
   1050	    14235.52	        2010	 7	 16	 12	 43	  53	 
